"filename", "language", "JSON", "YAML", "Markdown", "JavaScript", "Ignore", "XML", "JavaScript JSX", "JSON with Comments", "HTML", "PostCSS", "Rust", "comment", "blank", "total"
"h:\tools\cyclemetry\app\src\features\scene-settings\components\SidebarSettingsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 9, 6, 70
"h:\tools\cyclemetry\app\src\features\scene-settings\components\VideoSyncSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 20, 7, 127
"h:\tools\cyclemetry\app\src\features\scene-settings\data\sceneSettingsConstants.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 3, 36
"h:\tools\cyclemetry\app\src\features\scene-settings\hooks\useSceneSettingsState.js", "JavaScript", 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 19, 26, 237
"h:\tools\cyclemetry\app\src\features\scene-settings\index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 2, 12
"h:\tools\cyclemetry\app\src\features\scene-settings\utils\sceneSettingsUtils.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 15, 6, 48
"h:\tools\cyclemetry\app\src\features\template-manager\components\NewTemplateConfirmDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 12, 5, 55
"h:\tools\cyclemetry\app\src\features\template-manager\data\templateConstants.js", "JavaScript", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 16, 13, 175
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateManagement.js", "JavaScript", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 20, 26, 256
"h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateSaveStatus.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 19, 8, 58
"h:\tools\cyclemetry\app\src\features\template-manager\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 2, 10
"h:\tools\cyclemetry\app\src\features\template-manager\utils\templateFileUtils.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 22, 4, 40
"h:\tools\cyclemetry\app\src\features\template-manager\utils\templateSnapshot.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 59, 33, 256
"h:\tools\cyclemetry\app\src\features\video-preview\data\videoPreviewConstants.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 17, 10, 36
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoImport.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 20, 8, 90
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPlaybackClock.js", "JavaScript", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 36, 35, 211
"h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPreview.js", "JavaScript", 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 63, 49, 365
"h:\tools\cyclemetry\app\src\features\video-preview\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
"h:\tools\cyclemetry\app\src\features\widget-editor\components\ElevationWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 13, 5, 290
"h:\tools\cyclemetry\app\src\features\widget-editor\components\GradientWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 11, 6, 89
"h:\tools\cyclemetry\app\src\features\widget-editor\components\MetricWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 12, 3, 52
"h:\tools\cyclemetry\app\src\features\widget-editor\components\RouteMapWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 12, 6, 169
"h:\tools\cyclemetry\app\src\features\widget-editor\components\SidebarWidgetsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 17, 19, 170
"h:\tools\cyclemetry\app\src\features\widget-editor\components\TemperatureWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 12, 3, 43
"h:\tools\cyclemetry\app\src\features\widget-editor\components\TextWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 11, 3, 22
"h:\tools\cyclemetry\app\src\features\widget-editor\components\TimeWidgetEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 12, 3, 24
"h:\tools\cyclemetry\app\src\features\widget-editor\components\widgetEditorSections.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 71, 16, 274
"h:\tools\cyclemetry\app\src\features\widget-editor\components\widgetFormControls.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 79, 15, 222
"h:\tools\cyclemetry\app\src\features\widget-editor\data\widgetDefaults.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 14, 10, 108
"h:\tools\cyclemetry\app\src\features\widget-editor\data\widgetDefinitions.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 5, 49
"h:\tools\cyclemetry\app\src\features\widget-editor\hooks\useWidgetManager.js", "JavaScript", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 28, 19, 150
"h:\tools\cyclemetry\app\src\features\widget-editor\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"h:\tools\cyclemetry\app\src\features\widget-editor\utils\widgetUtils.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 61, 18, 187
"h:\tools\cyclemetry\app\src\features\widget-preview\components\ElevationRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 7, 5, 209
"h:\tools\cyclemetry\app\src\features\widget-preview\components\MetricRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 11, 11, 198
"h:\tools\cyclemetry\app\src\features\widget-preview\components\RouteRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 6, 4, 131
"h:\tools\cyclemetry\app\src\features\widget-preview\components\TextRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 6, 4, 51
"h:\tools\cyclemetry\app\src\features\widget-preview\components\WidgetPreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 4, 7, 88
"h:\tools\cyclemetry\app\src\features\widget-preview\components\previewSvgComponents.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 6, 20, 201
"h:\tools\cyclemetry\app\src\features\widget-preview\hooks\useFontMetricsVersion.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 9, 36
"h:\tools\cyclemetry\app\src\features\widget-preview\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 4, 16
"h:\tools\cyclemetry\app\src\features\widget-preview\utils\elevationGeometry.js", "JavaScript", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 4, 29, 211
