Date : 2026-05-23 02:11:55
Directory : h:\tools\cyclemetry
Total : 271 files,  32405 codes, 7123 comments, 4143 blanks, all 43671 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| h:\tools\cyclemetry\app\src\features\app-shell\components\AppHeader.jsx                       | JavaScript JSX |         82 |         17 |          6 |        105 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ControlPanel.jsx                    | JavaScript JSX |         32 |         11 |          5 |         48 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\EditorToolbar.jsx                   | JavaScript JSX |        112 |         21 |          5 |        138 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\ErrorAlert.jsx                      | JavaScript JSX |         30 |          7 |          6 |         43 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\LoadingOverlay.jsx                  | JavaScript JSX |         25 |         18 |          4 |         47 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\OnboardingState.jsx                 | JavaScript JSX |         55 |          7 |          6 |         68 |
| h:\tools\cyclemetry\app\src\features\app-shell\components\TitleBar.jsx                        | JavaScript JSX |         35 |          4 |          4 |         43 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useActivityImport.js                     | JavaScript     |         32 |         22 |          8 |         62 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useAppBootstrap.js                       | JavaScript     |         27 |         13 |          7 |         47 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useBackendStatus.js                      | JavaScript     |         70 |          8 |         16 |         94 |
| h:\tools\cyclemetry\app\src\features\app-shell\hooks\useEditorShellState.js                   | JavaScript     |         57 |         34 |         14 |        105 |
| h:\tools\cyclemetry\app\src\features\app-shell\index.js                                       | JavaScript     |         10 |          4 |          2 |         16 |
| h:\tools\cyclemetry\app\src\features\app-shell\utils\backendDebug.js                          | JavaScript     |         38 |         22 |         12 |         72 |
| h:\tools\cyclemetry\app\src\features\app-shell\utils\templateGroups.js                        | JavaScript     |         47 |         16 |          8 |         71 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayCanvas.jsx              | JavaScript JSX |        240 |         19 |         16 |        275 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayEditor.jsx              | JavaScript JSX |        209 |         33 |         16 |        258 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\components\OverlayMoveable.jsx            | JavaScript JSX |         84 |         24 |          8 |        116 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\metricWidgetAssets.js                | JavaScript     |          1 |          0 |          1 |          2 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConfig.js               | JavaScript     |         23 |         16 |          5 |         44 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\data\overlayEditorConstants.js            | JavaScript     |         32 |         11 |          8 |         51 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\createOverlayMoveableHandlers.js    | JavaScript     |         16 |         28 |          4 |         48 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useDragHandlers.js                  | JavaScript     |        145 |         26 |         26 |        197 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorKeyboard.js                | JavaScript     |         24 |         13 |          7 |         44 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useEditorViewport.js                | JavaScript     |         23 |          9 |          8 |         40 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useOverlayEditorState.js            | JavaScript     |        337 |         34 |         47 |        418 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useResizeHandlers.js                | JavaScript     |         69 |         17 |         10 |         96 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useRotateHandlers.js                | JavaScript     |         54 |         17 |          9 |         80 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useScaleHandlers.js                 | JavaScript     |        136 |         21 |         17 |        174 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\hooks\useWidgetDraftState.js              | JavaScript     |         61 |         28 |         14 |        103 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\index.js                                  | JavaScript     |         22 |          6 |          7 |         35 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\createOverlayPointerHandlers.js     | JavaScript     |        174 |         50 |         37 |        261 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\exportRange.js                      | JavaScript     |        198 |         82 |         44 |        324 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorHelpers.js             | JavaScript     |         77 |         73 |         18 |        168 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\overlayEditorUtils.js               | JavaScript     |        163 |         71 |         47 |        281 |
| h:\tools\cyclemetry\app\src\features\overlay-editor\utils\widgetDomHelpers.js                 | JavaScript     |         88 |         50 |         22 |        160 |
| h:\tools\cyclemetry\app\src\features\player\components\OverlayPlayer.jsx                      | JavaScript JSX |         87 |         10 |          5 |        102 |
| h:\tools\cyclemetry\app\src\features\player\hooks\useOverlayPlayerState.js                    | JavaScript     |         20 |         14 |          6 |         40 |
| h:\tools\cyclemetry\app\src\features\player\hooks\usePlaybackEngine.js                        | JavaScript     |        267 |         44 |         44 |        355 |
| h:\tools\cyclemetry\app\src\features\player\hooks\usePlayerKeyboard.js                        | JavaScript     |         41 |         17 |         11 |         69 |
| h:\tools\cyclemetry\app\src\features\player\hooks\usePlayerStore.js                           | JavaScript     |         24 |          8 |          3 |         35 |
| h:\tools\cyclemetry\app\src\features\player\index.js                                          | JavaScript     |          1 |          3 |          2 |          6 |
| h:\tools\cyclemetry\app\src\features\player\utils\playerTimeline.js                           | JavaScript     |         25 |         19 |          9 |         53 |
| h:\tools\cyclemetry\app\src\features\render-video\components\ExportRangeSettings.jsx          | JavaScript JSX |         68 |         11 |          7 |         86 |
| h:\tools\cyclemetry\app\src\features\render-video\components\RenderProgressPanel.jsx          | JavaScript JSX |         89 |         15 |         14 |        118 |
| h:\tools\cyclemetry\app\src\features\render-video\components\RenderVideoDialog.jsx            | JavaScript JSX |        224 |         15 |         15 |        254 |
| h:\tools\cyclemetry\app\src\features\render-video\data\bitrateDefaults.js                     | JavaScript     |         32 |          9 |          3 |         44 |
| h:\tools\cyclemetry\app\src\features\render-video\data\renderConstants.js                     | JavaScript     |         84 |          8 |          6 |         98 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderCompletion.js                | JavaScript     |         40 |         14 |          9 |         63 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderDialogState.js               | JavaScript     |         42 |         15 |         11 |         68 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderProgressPolling.js           | JavaScript     |         33 |         10 |          6 |         49 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDerivedState.js         | JavaScript     |         76 |         11 |          6 |         93 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoDialogState.js          | JavaScript     |        113 |         22 |         17 |        152 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderVideoEffects.js              | JavaScript     |         68 |         15 |         14 |         97 |
| h:\tools\cyclemetry\app\src\features\render-video\hooks\useRenderWorkflow.js                  | JavaScript     |        176 |         12 |         14 |        202 |
| h:\tools\cyclemetry\app\src\features\render-video\index.js                                    | JavaScript     |          4 |          4 |          2 |         10 |
| h:\tools\cyclemetry\app\src\features\render-video\utils\bitrateDefaults.js                    | JavaScript     |         12 |         14 |          4 |         30 |
| h:\tools\cyclemetry\app\src\features\render-video\utils\codecUtils.js                         | JavaScript     |        116 |         77 |         29 |        222 |
| h:\tools\cyclemetry\app\src\features\render-video\utils\format.js                             | JavaScript     |         14 |         16 |          5 |         35 |
| h:\tools\cyclemetry\app\src\features\render-video\utils\render-execution.js                   | JavaScript     |         68 |         38 |          9 |        115 |
| h:\tools\cyclemetry\app\src\features\render-video\utils\render-video.js                       | JavaScript     |        151 |         11 |         21 |        183 |
| h:\tools\cyclemetry\app\src\features\scene-settings\components\GlobalSettingsSection.jsx      | JavaScript JSX |        147 |         13 |          7 |        167 |
| h:\tools\cyclemetry\app\src\features\scene-settings\components\OverlaySettingsSection.jsx     | JavaScript JSX |        150 |         25 |          9 |        184 |
| h:\tools\cyclemetry\app\src\features\scene-settings\components\SidebarSettingsTab.jsx         | JavaScript JSX |         55 |          9 |          6 |         70 |
| h:\tools\cyclemetry\app\src\features\scene-settings\components\VideoSyncSection.jsx           | JavaScript JSX |        100 |         20 |          7 |        127 |
| h:\tools\cyclemetry\app\src\features\scene-settings\data\sceneSettingsConstants.js            | JavaScript     |         30 |          3 |          3 |         36 |
| h:\tools\cyclemetry\app\src\features\scene-settings\hooks\useSceneSettingsState.js            | JavaScript     |        192 |         19 |         26 |        237 |
| h:\tools\cyclemetry\app\src\features\scene-settings\index.js                                  | JavaScript     |          5 |          5 |          2 |         12 |
| h:\tools\cyclemetry\app\src\features\scene-settings\utils\sceneSettingsUtils.js               | JavaScript     |         27 |         15 |          6 |         48 |
| h:\tools\cyclemetry\app\src\features\template-manager\components\NewTemplateConfirmDialog.jsx | JavaScript JSX |         38 |         12 |          5 |         55 |
| h:\tools\cyclemetry\app\src\features\template-manager\data\templateConstants.js               | JavaScript     |         84 |         16 |         14 |        114 |
| h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateManagement.js          | JavaScript     |        210 |         20 |         26 |        256 |
| h:\tools\cyclemetry\app\src\features\template-manager\hooks\useTemplateSaveStatus.js          | JavaScript     |         31 |         19 |          8 |         58 |
| h:\tools\cyclemetry\app\src\features\template-manager\index.js                                | JavaScript     |          4 |          4 |          2 |         10 |
| h:\tools\cyclemetry\app\src\features\template-manager\utils\templateFileUtils.js              | JavaScript     |         14 |         22 |          4 |         40 |
| h:\tools\cyclemetry\app\src\features\template-manager\utils\templateSnapshot.js               | JavaScript     |        164 |         59 |         33 |        256 |
| h:\tools\cyclemetry\app\src\features\video-preview\data\videoPreviewConstants.js              | JavaScript     |          9 |         17 |         10 |         36 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoImport.js                    | JavaScript     |         62 |         20 |          8 |         90 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPlaybackClock.js             | JavaScript     |        140 |         36 |         35 |        211 |
| h:\tools\cyclemetry\app\src\features\video-preview\hooks\useVideoPreview.js                   | JavaScript     |        253 |         63 |         49 |        365 |
| h:\tools\cyclemetry\app\src\features\video-preview\index.js                                   | JavaScript     |          3 |          4 |          2 |          9 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\ElevationWidgetEditor.jsx       | JavaScript JSX |        272 |         13 |          5 |        290 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\GradientWidgetEditor.jsx        | JavaScript JSX |         72 |         11 |          6 |         89 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\MetricWidgetEditor.jsx          | JavaScript JSX |         37 |         12 |          3 |         52 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\RouteMapWidgetEditor.jsx        | JavaScript JSX |        151 |         12 |          6 |        169 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\SidebarWidgetsTab.jsx           | JavaScript JSX |        134 |         17 |         19 |        170 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\TemperatureWidgetEditor.jsx     | JavaScript JSX |         28 |         12 |          3 |         43 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\TextWidgetEditor.jsx            | JavaScript JSX |          8 |         11 |          3 |         22 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\TimeWidgetEditor.jsx            | JavaScript JSX |          9 |         12 |          3 |         24 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\widgetEditorSections.jsx        | JavaScript JSX |        187 |         71 |         16 |        274 |
| h:\tools\cyclemetry\app\src\features\widget-editor\components\widgetFormControls.jsx          | JavaScript JSX |        125 |         79 |         15 |        219 |
| h:\tools\cyclemetry\app\src\features\widget-editor\data\widgetDefaults.js                     | JavaScript     |         84 |         14 |         10 |        108 |
| h:\tools\cyclemetry\app\src\features\widget-editor\data\widgetDefinitions.js                  | JavaScript     |         14 |          5 |          4 |         23 |
| h:\tools\cyclemetry\app\src\features\widget-editor\hooks\useWidgetManager.js                  | JavaScript     |        103 |         28 |         19 |        150 |
| h:\tools\cyclemetry\app\src\features\widget-editor\index.js                                   | JavaScript     |          1 |          4 |          2 |          7 |
| h:\tools\cyclemetry\app\src\features\widget-editor\utils\widgetUtils.js                       | JavaScript     |        106 |         61 |         17 |        184 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\ElevationRenderer.jsx          | JavaScript JSX |        197 |         31 |         13 |        241 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\MetricRenderer.jsx             | JavaScript JSX |        176 |         26 |         11 |        213 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\RouteRenderer.jsx              | JavaScript JSX |        121 |         21 |          8 |        150 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\TextRenderer.jsx               | JavaScript JSX |         36 |         13 |          4 |         53 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\WidgetPreview.jsx              | JavaScript JSX |         79 |         24 |          7 |        110 |
| h:\tools\cyclemetry\app\src\features\widget-preview\components\previewSvgComponents.jsx       | JavaScript JSX |        175 |         95 |         20 |        290 |
| h:\tools\cyclemetry\app\src\features\widget-preview\hooks\useFontMetricsVersion.js            | JavaScript     |         24 |         12 |          9 |         45 |
| h:\tools\cyclemetry\app\src\features\widget-preview\index.js                                  | JavaScript     |          7 |          6 |          4 |         17 |
| h:\tools\cyclemetry\app\src\features\widget-preview\utils\elevationGeometry.js                | JavaScript     |        178 |         31 |         29 |        238 |
